SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
2537,K5TX-NYYX 30N023,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:29:28,PMORASAK,,,,,Complete,Rohan,,
2538,K5TX-NYYX 30N024,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:31:18,PMORASAK,,,,,Complete,Rohan,,
2539,K5TX-NYYX 30N017,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:33:13,PMORASAK,,,,,Complete,Rohan,,
2540,NYYX-RZXX 30N002,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:35:16,PMORASAK,,,,,Complete,Rohan,,
2541,NYYX-RZXX 30N003,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:37:03,PMORASAK,,,,,Complete,Rohan,,
2542,NYYX-RZXX 30N001,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:38:50,PMORASAK,,,,,Complete,Rohan,,
2543,LAAX-N0VX 16S001,Provide,798726,918 - TATA COMMUNICATIONS (CANADA) LTD.,*N/A*,27-11-2015 18:38:57,TOPSPON,,,,,Complete,Amol,,
2544,NYYX-RZWX 30N047,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 22:27:40,PMORASAK,,,,,Complete,Rohan,,
2545,NYYX-RZWX 30N048,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 22:32:41,PMORASAK,,,,,Complete,Rohan,,
2546,NYYX-RZWX 30N049,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 22:37:51,PMORASAK,,,,,Complete,Rohan,,
2547,NYYX-RZWX 30N054,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 22:43:05,PMORASAK,,,,,Complete,Rohan,,
