tiger_id,viznetM6id,gam_id,mrc_converted,nrc_converted,program_manager,evolve_status,customer_name,provisioner_name,service_type,inbasket_date
776827,,776827,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,29-04-2015 06:42:10
782818,,782818,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,26-05-2015 10:35:48
782818,,782818,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,26-05-2015 10:35:38
818748,,818748,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,YSOMI,GLOBETH,14-03-2016 11:34:23
778418,,778418,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,29-04-2015 06:20:00
778305,,778305,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,22-05-2015 08:08:32
777763,,777763,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,13-05-2015 14:12:17
767436,,767436,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,11-02-2015 07:25:29
816283,,816283,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,YSOMI,GLOBETH,16-03-2016 07:08:27
776827,,776827,,,,,27228 - AT&T GLOBAL NETWORK SERVICES INDIA PTE LTD,PPRABHUD,GLOBETH,29-04-2015 06:41:37
787169,,787169,,,,,10432 - ROGERS TELECOM (US) INC ,AMRITJAD,VTS,11-09-2015 09:16:03
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 13:08:37
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 13:07:50
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 14:07:33
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 14:07:19
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 14:06:23
