SrNo,nims_id,CRAMMER_NAME,circuit_action_type,tiger_id,customer_name,service_type,VIZNET_ID_,provisioner_name,order_issued_date
47,HW1X-L78X VC3S882,HWCX/HW1X/TGBUK/GBR*LNDN/L78X/TGBUK/GBR VC3S0191,Reroute,764245,25700 - TATA - BB ETHERNET.,*N/A*,,AKARMUR,10-04-2015 11:25:59
48,H99X-IH4X CEVLAN0012,HNKG/H99X/SANCH/CHN*SING/IH4X/VSNLS/SGP CEVLAN0012,Provide,798868,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,21-12-2015 08:23:31
49,SVQX-T9YX VC3S008,BNGK/T9YX/TRUEL/THA*SING/SVQX/VSNLS/SGP VC3S0009,Provide,795490,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,25-02-2016 11:18:55
50,H99X-W1UX VC3S017,HNKG/H99X/SANCH/CHN*MUMB/W1UX/SANCH/IND VC3S0017,Provide,810014,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-02-2016 12:24:46
51,H99X-W1UX VC3S005,HNKG/H99X/SANCH/CHN*MUMB/W1UX/SANCH/IND VC3S0005,Provide,810014,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-02-2016 12:24:20
52,HDBX-IM6X BVID0011B1,HYBD/HDBX/VSNL/IND*MUMB/IM6X/VSNLI/IND BVID0065,Provide,819928,25700 - TATA - BB ETHERNET.,*N/A*,IOR_132778,AVIPATIL,21-03-2016 10:13:22
53,N0VX-N0VX XM0004,NYKC/N0VX/TGBUS/USA*NYKC/N0VX/TGBUS/USA XM0004,Provide,776703,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,06-11-2015 10:52:40
54,H99X-IH4X CEVLAN005,HNKG/H99X/SANCH/CHN*SING/IH4X/VSNLS/SGP CEVLAN0005,Provide,799271,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,11-12-2015 13:42:13
55,NW8X-NW8X VC3S077,NYKC/NW8X/TGBUS/USA*NYKC/NW8X/TGBUS/USA VC3S0077,Cancel,812593,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,29-01-2016 10:57:49
56,N0VX-NJYX BVID1109P,NWRK/NJYX/TGBUS/USA*NYKC/N0VX/TGBUS/USA BVID0012,Provide,798510,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,24-11-2015 12:36:20
57,H99X-H99X 1G064,HNKG/H99X/SANCH/CHN*HNKG/H99X/SANCH/CHN 1G0064,Provide,791632,25700 - TATA - BB ETHERNET.,*N/A*,IOR_286783,AVIPATIL,10-12-2015 08:12:46
58,H99X-W1UX VC3S014,HNKG/H99X/SANCH/CHN*MUMB/W1UX/SANCH/IND VC3S0014,Provide,810014,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-02-2016 12:24:39
59,SVQX-T9YX VC3S007,BNGK/T9YX/TRUEL/THA*SING/SVQX/VSNLS/SGP VC3S0008,Provide,795490,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,25-02-2016 11:21:17
60,HDBX-IM6X BVID0060,HYBD/HDBX/VSNL/IND*MUMB/IM6X/VSNLI/IND BVID0042,Cancel,817105,25700 - TATA - BB ETHERNET.,*N/A*,IOR_218004,AVIPATIL,18-03-2016 10:33:12
61,H99X-W1UX VC3S019,HNKG/H99X/SANCH/CHN*MUMB/W1UX/SANCH/IND VC3S0019,Provide,810014,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-02-2016 12:25:22
