nccm_id,Scenario Type,Order Type,1,2,3,4,m6viznet_service_id,6,7,8,9,10,11,order_issued_date
NCCM_51396,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091NAVI623006395489,No,08-12-2015 13:55,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:14
NCCM_51397,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,singh.amit,ESOC,091GOA0030001699296,No,08-12-2015 14:32,Yes,ploni,Provisioning-Network,Provisioning-Network,30-12-2015 12:51
NCCM_51400,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,singh.amit,ESOC,8322235862,No,08-12-2015 14:36,Yes,,Provisioning-Network,Provisioning-Network,17-12-2015 16:09
NCCM_51401,NORMAL,URINNCCM,CLOSED,,singh.amit,ESOC,4031202564,No,08-12-2015 15:12,No,,,,
NCCM_51823,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,singh.amit,ESOC,2220394552,No,15-12-2015 14:52,No,,Provisioning-Network,Provisioning-Network,08-01-2016 11:20
NCCM_54591,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091KOLK1143010878507,No,10-02-2016 15:54,No,,Provisioning-Network,Provisioning-Network,10-02-2016 16:02
NCCM_54592,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091KOLK1143010924000,No,10-02-2016 15:55,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:39
NCCM_54595,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143004862954,No,10-02-2016 15:57,No,,Provisioning-Network,Provisioning-Network,10-02-2016 16:05
NCCM_54598,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143005867951,No,10-02-2016 15:58,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:40
NCCM_55221,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,13-02-2016 10:33,No,,Provisioning-Network,Provisioning-Network,14-03-2016 12:03
NCCM_54599,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143005994112,No,10-02-2016 15:58,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:41
NCCM_55222,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,13-02-2016 12:28,No,,Provisioning-Network,Provisioning-Network,13-02-2016 18:50
NCCM_54600,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143006420751,No,10-02-2016 15:59,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:42
